SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00046,H3255,-2.523354,-3.270271,SIDM00046,1,0
SIDM01068,HCC-78,0.963438,-0.538849,SIDM01068,0,0
SIDM00300,LC-1-sq,1.236521,-0.324925,SIDM00300,0,0
SIDM00341,LOU-NH91,0.29367,-1.06352,SIDM00341,1,0
SIDM00658,NCI-H1435,2.21542,0.441907,SIDM00658,0,0
SIDM00750,NCI-H1568,0.469193,-0.926021,SIDM00750,0,0
SIDM00754,NCI-H1781,-0.34841,-1.566501,SIDM00754,0,0
SIDM00703,NCI-H2110,0.01286,-1.283496,SIDM00703,0,0
SIDM00700,NCI-H2135,4.97251,2.601708,SIDM00700,0,0
SIDM00926,NCI-H2172,1.357768,-0.229945,SIDM00926,0,0
SIDM00723,NCI-H2444,3.696597,1.602206,SIDM00723,0,0
SIDM00356,RERF-LC-KJ,1.415262,-0.184907,SIDM00356,0,0
SIDM00354,RERF-LC-Sq1,-0.186079,-1.439337,SIDM00354,0,0
SIDM00508,COR-L32,1.606048,-0.035452,SIDM00508,0,0
SIDM00507,COR-L321,1.885695,0.183613,SIDM00507,0,0
SIDM00048,EMC-BAC-1,-0.042516,-1.326876,SIDM00048,0,0
SIDM00047,EMC-BAC-2,0.664314,-0.773171,SIDM00047,0,0
