SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00046,H3255,4.805109,1.491882,SIDM00046,1,0
SIDM01068,HCC-78,1.591165,-0.640773,SIDM01068,0,0
SIDM00300,LC-1-sq,3.146198,0.39109,SIDM00300,0,0
SIDM00341,LOU-NH91,4.258764,1.129348,SIDM00341,1,0
SIDM00658,NCI-H1435,3.522454,0.640759,SIDM00658,0,0
SIDM00750,NCI-H1568,4.175511,1.074104,SIDM00750,0,0
SIDM00754,NCI-H1781,4.005889,0.961549,SIDM00754,0,0
SIDM00703,NCI-H2110,2.668,0.073775,SIDM00703,0,0
SIDM00700,NCI-H2135,6.873206,2.864195,SIDM00700,0,0
SIDM00926,NCI-H2172,3.824651,0.841286,SIDM00926,0,0
SIDM00723,NCI-H2444,5.54008,1.979581,SIDM00723,0,0
SIDM00356,RERF-LC-KJ,3.182994,0.415507,SIDM00356,0,0
SIDM00354,RERF-LC-Sq1,2.516429,-0.026802,SIDM00354,0,0
SIDM00508,COR-L32,1.877468,-0.450792,SIDM00508,0,0
SIDM00507,COR-L321,1.953216,-0.400529,SIDM00507,0,0
SIDM00048,EMC-BAC-1,1.468441,-0.722208,SIDM00048,0,0
SIDM00047,EMC-BAC-2,2.288892,-0.177787,SIDM00047,0,0
