SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00046,H3255,-0.437893,-2.963373,SIDM00046,1,0
SIDM01068,HCC-78,4.021238,0.727647,SIDM01068,0,0
SIDM00300,LC-1-sq,1.024316,-1.753038,SIDM00300,0,0
SIDM00341,LOU-NH91,1.416904,-1.428075,SIDM00341,1,0
SIDM00658,NCI-H1435,3.205247,0.052215,SIDM00658,0,0
SIDM00750,NCI-H1568,0.839573,-1.905957,SIDM00750,0,0
SIDM00754,NCI-H1781,1.806178,-1.105856,SIDM00754,0,0
SIDM00703,NCI-H2110,1.506936,-1.353552,SIDM00703,0,0
SIDM00700,NCI-H2135,5.744777,2.154297,SIDM00700,0,0
SIDM00926,NCI-H2172,3.642478,0.414131,SIDM00926,0,0
SIDM00723,NCI-H2444,4.568915,1.180984,SIDM00723,0,0
SIDM00356,RERF-LC-KJ,1.803538,-1.108041,SIDM00356,0,0
SIDM00354,RERF-LC-Sq1,0.356881,-2.305503,SIDM00354,0,0
SIDM00508,COR-L32,3.78539,0.532426,SIDM00508,0,0
SIDM00507,COR-L321,2.881639,-0.215649,SIDM00507,0,0
SIDM00048,EMC-BAC-1,1.583742,-1.289976,SIDM00048,0,0
SIDM00047,EMC-BAC-2,2.450382,-0.57262,SIDM00047,0,0
